Name,Price,Discount,Rating,Specs
"vivo T4R 5G (Arctic White, 256 GB)",21499,14% off,4.5,8 GB RAM | 256 GB ROM; 17.2 cm (6.77 inch) Display; 50MP (OIS) + 2MP | 32MP Front Camera; 5700 mAh Battery; Dimensity 7400 5G Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Motorola g45 5G (Pantone Dahlia Purple, 128 GB)",11999,20% off,4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 16.51 cm (6.5 inch) HD+ Display; 50MP + 2MP | 16MP Front Camera; 5000 mAh Battery; Snapdragon 6s Gen 3 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)",39999,46% off,4.6,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"realme C71 (Obsidian Black, 128 GB)",7699,30% off,4.2,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.14 cm (6.75 inch) HD+ Display; 13MP Rear Camera | 5MP Front Camera; 6300 mAh Battery; T7250 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Nothing Phone (3) (White, 512 GB)",89999,5% off,4.4,16 GB RAM | 512 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty
"Nothing Phone (3a) Pro (Grey, 256 GB)",29999,14% off,4.5,8 GB RAM | 256 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty
"CMF by Nothing Phone 2 Pro (Orange, 256 GB)",18999,24% off,4.4,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB; 17.2 cm (6.77 inch) Display; 50MP + 50MP + 8MP | 16MP Front Camera; 5000 mAh Battery; Dimensity 7300 Pro 5G Processor; 1 Year Manufacturing Warranty
"CMF by Nothing Phone 2 Pro (Black, 128 GB)",16999,26% off,4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.2 cm (6.77 inch) Display; 50MP + 50MP + 8MP | 16MP Front Camera; 5000 mAh Battery; Dimensity 7300 Pro 5G Processor; 1 Year Manufacturing Warranty
"Nothing Phone (3) (Black, 256 GB)",79999,5% off,4.4,12 GB RAM | 256 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty
"Nothing Phone (3a) Pro (Grey, 128 GB)",27999,15% off,4.5,8 GB RAM | 128 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty
